categories,fraction,num_cutoff,enrichment,log10_P
V4,0.900,178,3.8396850645221066,-49.56447821611437
V4,0.800,172,4.1740396628372345,-52.44556906871003
V4,0.700,159,4.409782766718407,-50.13527139879534
V4,0.600,143,4.627036215393212,-45.99497181763036
V4,0.500,121,4.698221387937724,-37.58225327578657
V4,0.400,101,4.9020698365879145,-32.045086853597695
V4,0.300,80,5.177103457782616,-26.18557119690695
V4,0.200,58,5.630100010338595,-20.319376851307197
V4,0.100,22,4.271110352670659,-5.840231862341284
V4,0.090,21,4.529965525559789,-5.989761524815094
V4,0.080,18,4.368181042504082,-5.026318934587266
V4,0.070,14,3.8828275933369625,-3.543294185765717
V4,0.060,10,3.2356896611141357,-2.211889017155272
V4,0.050,8,3.10626207466957,-1.8151228771235992
V4,0.040,5,2.4267672458356015,-1.0603350011915609
V4,0.030,4,2.5885517288913085,-1.0042972448643468
V4,0.020,1,0.9707068983342406,-0.4221680488681159
V4,0.010,0,0.0,-0.3006110741334851
V5,1.000,69,3.301936149439051,-15.424807361036073
V5,0.900,66,3.5093041201767687,-15.849634854706892
V5,0.800,65,3.888149451332216,-17.86222211482709
V5,0.700,65,4.443599372951103,-21.028371194748615
V5,0.600,63,5.024685444798555,-23.06032861067615
V5,0.500,54,5.168247886078515,-19.39672782766047
V5,0.400,48,5.74249765119835,-18.828515458528273
V5,0.300,42,6.6995805930647405,-18.599196807358567
V5,0.200,34,8.135205005864329,-17.307591369309193
V5,0.100,19,9.09228794773072,-10.405902157050605
V5,0.090,19,10.102542164145245,-11.18193188006751
V5,0.080,18,10.767183095996904,-11.07257314358992
V5,0.070,16,10.938090764187333,-9.96488383352056
V5,0.060,15,11.963536773329896,-9.91668836441039
V5,0.050,11,10.527912360530308,-6.841732609753365
V5,0.040,9,10.767183095996904,-5.76151673987431
V5,0.030,7,11.165967655107902,-4.7093477360897396
V5,0.020,4,9.570829418663916,-2.6509192017156806
V5,0.010,2,9.570829418663916,-1.5233869129808681
Reversion,1.000,182,3.233082755055184,-49.67970515223351
Reversion,0.900,162,3.1975543731315006,-38.77499448944582
Reversion,0.800,150,3.330785805345313,-36.098067175680626
Reversion,0.700,132,3.349818867090143,-29.731427218382123
Reversion,0.600,117,3.4640172375591254,-26.308884576463242
Reversion,0.500,101,3.5883665742920177,-22.582750631001545
Reversion,0.400,89,3.952532489009772,-22.363955904743307
Reversion,0.300,77,4.559475680206028,-22.655707477932992
Reversion,0.200,61,5.41807824336171,-21.235398842846962
Reversion,0.100,39,6.928034475118252,-16.895565775618365
Reversion,0.090,38,7.500436183888706,-17.607141154231726
Reversion,0.080,32,7.105676384736669,-14.16869753653225
Reversion,0.070,31,7.866998854529883,-14.937004242638238
Reversion,0.060,29,8.586025631556808,-15.01576926688881
Reversion,0.050,28,9.947946938631336,-16.220383789881055
Reversion,0.040,21,9.326200254966878,-11.673519883806193
Reversion,0.030,18,10.658514577105002,-11.099889053734614
Reversion,0.020,14,12.43493367328917,-9.642273099601312
Reversion,0.010,8,14.211352769473338,-6.255040513945346
Hole,1.000,41,0.26065252745989764,-57.573937458259024
Hole,0.900,37,0.2613589028730681,-50.79754170020351
Hole,0.800,34,0.27018859553769886,-43.48988699986694
